estacion,fecha,fecha_diff,precipitacion,temperatura,humedad_relativa,vientos,vi
Baures,2026-09-07 11:00:00,81,0.0,31,37,20,3.9
Baures,2026-09-07 11:00:00,84,0.0,26,37,300,3.4
Baures,2026-09-07 11:00:00,87,0.0,21,36,219,2.8
Baures,2026-09-07 11:00:00,90,0.0,21,36,328,2.1
Baures,2026-09-07 11:00:00,93,0.0,26,35,350,2.8
Baures,2026-09-07 11:00:00,96,0.0,29,36,330,4.0
Baures,2026-09-07 11:00:00,99,0.0,34,56,300,5.2
Baures,2026-09-07 11:00:00,102,0.0,34,56,330,4.4
Baures,2026-09-07 11:00:00,105,0.0,30,36,0,3.7
Baures,2026-09-07 11:00:00,108,0.0,21,36,350,2.6
Baures,2026-09-07 11:00:00,111,0.0,21,37,336,1.5
Bolpebra - PD,2026-09-07 11:00:00,3,0.0,30,56,196,2.5
Bolpebra - PD,2026-09-07 11:00:00,6,0.0,30,56,218,1.8
Bolpebra - PD,2026-09-07 11:00:00,9,0.0,26,56,234,1.2
Bolpebra - PD,2026-09-07 11:00:00,12,0.0,23,56,224,1.1
Bolpebra - PD,2026-09-07 11:00:00,15,0.0,19,56,210,1.1
Bolpebra - PD,2026-09-07 11:00:00,18,0.0,19,56,220,0.8
Bolpebra - PD,2026-09-07 11:00:00,21,0.0,23,56,210,0.5
Bolpebra - PD,2026-09-07 11:00:00,24,0.0,25,56,257,1.0
Bolpebra - PD,2026-09-07 11:00:00,27,0.0,28,36,302,1.4
Bolpebra - PD,2026-09-07 11:00:00,30,0.0,28,37,298,1.1
Bolpebra - PD,2026-09-07 11:00:00,33,0.0,26,36,285,0.7
Bolpebra - PD,2026-09-07 11:00:00,36,0.0,24,36,282,1.1
Bolpebra - PD,2026-09-07 11:00:00,39,0.0,22,36,270,1.5
Bolpebra - PD,2026-09-07 11:00:00,42,0.0,22,26,274,1.3
Bolpebra - PD,2026-09-07 11:00:00,45,0.0,24,27,280,1.5
Bolpebra - PD,2026-09-07 11:00:00,48,0.0,27,26,310,1.8
Bolpebra - PD,2026-09-07 11:00:00,51,0.0,30,36,330,2.1
Bolpebra - PD,2026-09-07 11:00:00,54,0.0,30,36,318,1.7
Bolpebra - PD,2026-09-07 11:00:00,57,0.0,27,26,300,1.3
Bolpebra - PD,2026-09-07 11:00:00,60,0.0,24,26,302,1.5
Bolpebra - PD,2026-09-07 11:00:00,63,0.0,22,36,300,1.6
Bolpebra - PD,2026-09-07 11:00:00,66,0.0,22,36,300,1.7
Bolpebra - PD,2026-09-07 11:00:00,69,0.0,25,36,300,1.8
Bolpebra - PD,2026-09-07 11:00:00,72,0.0,28,36,310,2.0
Bolpebra - PD,2026-09-07 11:00:00,75,0.0,31,56,320,2.2
Bolpebra - PD,2026-09-07 11:00:00,78,0.0,31,56,350,2.0
Bolpebra - PD,2026-09-07 11:00:00,81,0.0,28,36,16,1.6
Bolpebra - PD,2026-09-07 11:00:00,84,0.0,25,37,356,1.5
Bolpebra - PD,2026-09-07 11:00:00,87,0.0,22,36,330,1.4
