estacion,fecha,fecha_diff,humedad_relativa,precipitacion,temperatura,vi,vientos
Patacamaya (INIAF),2026-07-20 08:00:00,27,35.0,0.0,9.0,3.3,359.0
Patacamaya (INIAF),2026-07-20 08:00:00,30,27.0,0.0,19.0,5.3,347.0
Patacamaya (INIAF),2026-07-20 08:00:00,33,26.0,0.0,19.0,4.6,359.0
Patacamaya (INIAF),2026-07-20 08:00:00,36,26.0,0.0,10.0,3.9,10.0
Patacamaya (INIAF),2026-07-20 08:00:00,39,26.0,0.0,4.0,3.2,9.0
Patacamaya (INIAF),2026-07-20 08:00:00,42,27.0,0.0,-3.0,2.5,359.0
Patacamaya (INIAF),2026-07-20 08:00:00,45,26.0,0.0,-3.0,2.8,337.0
Patacamaya (INIAF),2026-07-20 08:00:00,48,26.0,0.0,3.0,2.7,347.0
Patacamaya (INIAF),2026-07-20 08:00:00,51,26.0,0.0,10.0,4.6,327.0
Patacamaya (INIAF),2026-07-20 08:00:00,54,26.0,0.0,20.0,6.4,298.0
Patacamaya (INIAF),2026-07-20 08:00:00,57,25.0,0.0,20.0,4.4,318.0
Patacamaya (INIAF),2026-07-20 08:00:00,60,27.0,0.0,13.0,2.3,337.0
Patacamaya (INIAF),2026-07-20 08:00:00,63,26.0,0.0,6.0,2.4,347.0
Patacamaya (INIAF),2026-07-20 08:00:00,66,36.0,0.0,-3.0,2.5,349.0
Patacamaya (INIAF),2026-07-20 08:00:00,69,36.0,0.0,-3.0,2.7,9.0
Patacamaya (INIAF),2026-07-20 08:00:00,72,37.0,0.0,6.0,2.6,9.0
Patacamaya (INIAF),2026-07-20 08:00:00,75,36.0,0.0,12.0,4.3,349.0
Patacamaya (INIAF),2026-07-20 08:00:00,78,26.0,0.0,20.0,6.0,319.0
Patacamaya (INIAF),2026-07-20 08:00:00,81,26.0,0.0,20.0,4.8,308.0
Patacamaya (INIAF),2026-07-20 08:00:00,84,37.0,0.0,7.0,3.5,288.0
Patacamaya (INIAF),2026-07-20 08:00:00,87,36.0,0.0,-3.0,2.8,290.0
Patacamaya (INIAF),2026-07-20 08:00:00,90,36.0,0.0,-3.0,2.0,291.0
Patacamaya (INIAF),2026-07-20 12:00:00,14,,,-7.0,,
Patacamaya (INIAF),2026-07-20 12:00:00,17,,,-7.0,,
Patacamaya (INIAF),2026-07-20 12:00:00,26,37.0,,18.0,,
Patacamaya (INIAF),2026-07-20 12:00:00,29,37.0,,18.0,,
Patacamaya (INIAF),2026-07-20 12:00:00,38,,,-7.0,,
Patacamaya (INIAF),2026-07-20 12:00:00,41,,,-7.0,,
Patacamaya (INIAF),2026-07-20 12:00:00,50,,,18.0,,
Patacamaya (INIAF),2026-07-20 12:00:00,53,,,18.0,,
Patacamaya (INIAF),2026-07-20 12:00:00,62,,,-7.0,,
Patacamaya (INIAF),2026-07-20 12:00:00,65,,,-7.0,,
Patacamaya (INIAF),2026-07-20 12:00:00,74,,,17.0,,
Patacamaya (INIAF),2026-07-20 12:00:00,77,,,17.0,,
Patacamaya (INIAF),2026-07-20 12:00:00,80,,,10.0,,
Patacamaya (INIAF),2026-07-20 12:00:00,83,,,2.0,,
Patacamaya (INIAF),2026-07-20 12:00:00,86,27.0,,-6.0,,
Patacamaya (INIAF),2026-07-20 12:00:00,89,27.0,0.0,-6.0,1.5,281.0
Patacamaya (INIAF),2026-07-20 12:00:00,92,26.0,0.0,3.0,1.3,272.0
Patacamaya (INIAF),2026-07-20 12:00:00,95,25.0,0.0,8.0,2.1,222.0
Patacamaya (INIAF),2026-07-20 12:00:00,98,26.0,0.0,17.0,2.8,170.0
Patacamaya (INIAF),2026-07-20 12:00:00,101,27.0,0.0,17.0,2.6,120.0
Patacamaya (INIAF),2026-07-20 12:00:00,104,25.0,0.0,8.0,2.3,61.0
Patacamaya (INIAF),2026-07-20 12:00:00,107,26.0,0.0,-5.0,2.7,40.0
Patacamaya (INIAF),2026-07-20 12:00:00,110,25.0,0.0,-5.0,3.0,10.0
Potosí,2026-07-20 08:00:00,3,27.0,0.0,12.0,7.0,298.0
Potosí,2026-07-20 08:00:00,6,36.0,0.0,20.0,9.4,291.0
Potosí,2026-07-20 08:00:00,9,37.0,0.0,20.0,6.3,300.0
Potosí,2026-07-20 08:00:00,12,36.0,0.0,14.0,3.2,306.0
Potosí,2026-07-20 08:00:00,15,37.0,0.0,7.0,3.1,292.0
Potosí,2026-07-20 08:00:00,18,27.0,0.0,-1.0,2.9,272.0
Potosí,2026-07-20 08:00:00,21,26.0,0.0,-1.0,2.8,294.0
Potosí,2026-07-20 08:00:00,24,26.0,0.0,6.0,3.1,304.0
Potosí,2026-07-20 08:00:00,27,26.0,0.0,13.0,6.6,302.0
Potosí,2026-07-20 08:00:00,30,36.0,0.0,20.0,10.1,299.0
Potosí,2026-07-20 08:00:00,33,36.0,0.0,20.0,6.7,297.0
Potosí,2026-07-20 08:00:00,36,26.0,0.0,13.0,3.2,291.0
Potosí,2026-07-20 08:00:00,39,27.0,0.0,6.0,3.1,304.0
Potosí,2026-07-20 08:00:00,42,26.0,0.0,-1.0,3.0,308.0
Potosí,2026-07-20 08:00:00,45,26.0,0.0,-1.0,3.9,319.0
Potosí,2026-07-20 08:00:00,48,26.0,0.0,6.0,2.6,306.0
Potosí,2026-07-20 08:00:00,51,26.0,0.0,13.0,6.8,302.0
Potosí,2026-07-20 08:00:00,54,26.0,0.0,20.0,11.0,290.0
Potosí,2026-07-20 08:00:00,57,26.0,0.0,20.0,7.2,294.0
Potosí,2026-07-20 08:00:00,60,26.0,0.0,14.0,3.5,291.0
Potosí,2026-07-20 08:00:00,63,26.0,0.0,7.0,3.8,304.0
Potosí,2026-07-20 08:00:00,66,26.0,0.0,-2.0,4.1,315.0
Potosí,2026-07-20 08:00:00,69,27.0,0.0,-2.0,3.3,320.0
Potosí,2026-07-20 08:00:00,72,26.0,0.0,6.0,2.9,317.0
Potosí,2026-07-20 08:00:00,75,26.0,0.0,12.0,5.0,295.0
Potosí,2026-07-20 08:00:00,78,26.0,0.0,21.0,7.0,268.0
Potosí,2026-07-20 08:00:00,81,26.0,0.0,21.0,4.8,285.0
Potosí,2026-07-20 08:00:00,84,26.0,0.0,6.0,2.6,294.0
Potosí,2026-07-20 08:00:00,87,26.0,0.0,-2.0,2.3,314.0
Potosí,2026-07-20 08:00:00,90,26.0,0.0,-2.0,2.1,326.0
Potosí,2026-07-20 12:00:00,26,26.0,,19.0,,
Potosí,2026-07-20 12:00:00,29,26.0,,19.0,,
Potosí,2026-07-20 12:00:00,38,,,-2.0,,
Potosí,2026-07-20 12:00:00,41,,,-2.0,,
Potosí,2026-07-20 12:00:00,56,,,13.0,,
Potosí,2026-07-20 12:00:00,74,,,19.0,,
Potosí,2026-07-20 12:00:00,77,,,19.0,,
Potosí,2026-07-20 12:00:00,80,,,7.0,,
Potosí,2026-07-20 12:00:00,83,,,3.0,,
Potosí,2026-07-20 12:00:00,89,27.0,0.0,-2.0,2.7,304.0
Potosí,2026-07-20 12:00:00,92,26.0,0.0,3.0,2.7,311.0
Potosí,2026-07-20 12:00:00,95,27.0,0.0,8.0,5.2,266.0
Potosí,2026-07-20 12:00:00,98,26.0,0.0,19.0,7.7,217.0
Potosí,2026-07-20 12:00:00,101,26.0,0.0,19.0,4.6,230.0
Potosí,2026-07-20 12:00:00,104,27.0,0.0,6.0,1.5,240.0
Potosí,2026-07-20 12:00:00,107,27.0,0.0,-1.0,2.2,295.0
Potosí,2026-07-20 12:00:00,110,26.0,0.0,-1.0,2.9,345.0
Potosí Aeropuerto,2026-07-20 08:00:00,3,25.0,0.0,8.0,6.9,290.0
Potosí Aeropuerto,2026-07-20 08:00:00,6,36.0,0.0,20.0,9.0,290.0
Potosí Aeropuerto,2026-07-20 08:00:00,9,36.0,0.0,20.0,6.6,310.0
